english,farsi
a few,کمي
a great deal of,يک دنيا
a handful,يک مشت
a la garconne,آلاگارسن
a little,اندکيی
a little,کمي
a little,اندکي
a little,کمکي
a little,اندکي
a little while later,اندکي بعد
a lot,بمقدار زياد
a lot,کلي
a lot of,مقدار زيادي
a lot of,بسياري
a section of,قشري از
a while,اندکي
a while ago,چندي قبل
a while later,مدتي بعد
A.D.,ميلادي
aba,عبا
abacus,چرکه
abacus,چتکه
Abadan,آبادان
Aban,آبان
abandon,رهاساختن
abandon,دست کشيدن
abandon,دل کندن
abandon,ترککردن
abandon,رها کردن
abandon,صرفنظر کردن
abandon,واکهداردن
abandoned,متروکه
abandoned,متروک
abandoned place,متروکه
abandonment,ترک
abandonment,رهاسازي
abandonment,صرف نظر
abandonment,دلکندن
abandonment,متارکه
Abasalt,اباسلط
abase,تحقير نمودن
abase,کمارزش کردن
abatement,فروکشي
abatement,فروکش
Abazar,اباذر
abbacy,مقام رهبانيت
Abbas,عباس
Abbas Abdi,عباس عبدي
Abbas Agha,عباسآقا
Abbas Ali,عباسعلي
abbatial,راهبي
abbatial,ديري
abbatial,خانقاهي
abbey,خانقاه
abbreviate,مخفف کردن
abbreviate,اقتصار کردن
abbreviate,مختصر کردن
abbreviation,علامات اختصاري
abbreviation,علامت اقتصاري
abbreviation,يجاز
abbreviation,اختصار
abc,کتاب الفبا
abc,مبدا کار
Abd Hoseyn,عبدحسين
Abdali,عبدعلي
Abdelaziz Hakim,عبداعزيز حکيم
Abdi,عبدي
abdicate,تفويض کردن
abdication,کنارهگيري
Abdol Ali,عبدالعلي
Abdol Hoseyn,عبدالحسين
Abdol Jalil,عبدالجليل
Abdol Karim,عبدالکريم
Abdol Majid,عبدالمجيد
Abdol Malek,عبدالملک
Abdol Mohammad,عبدالمحمد
Abdol Reza,عبدالرضا
Abdol Salam,عبدالسلام
Abdol Vahed,عبدالواحد
Abdolamir,عبدالامير
Abdolhamid,عبدالحميد
Abdolhasan,عبدالحسن
Abdolkhalegh,عبدالخالق
Abdollah,عبدالله
Abdollah Gol,عبدالله گل
Abdolmalek,عبدالملک
Abdolmehdi,عبدالمهدي
Abdolrahim,عبدالرحيم
Abdolrahman,عبدالرحمان
Abdolrasul,عبدالرسول
abdomen,بطن
abdomen,شکم
abdominal,وريدهي شکمي
abdominal,بطني
abdominal,ماهيان بطني
abdominal,شکمي
abdominous,شکم گنده
abduct,ربودن
abducted,ربودهشده
abductor,آدمدزد
abductor,آدمربا
abductor,آدمربا
abductor,آدمدزد
Abdul Ali,عبدالعلي
Abdul Azimi,عبدالعظيمي
Abdul Ghani,عبدالغني
Abdul Rashid,عبد الرشيد
Abdullah,عبدالله
abecedarian,ابجدآموز
abecedarian,ابجدخوان
Abel,هابيل
aberration,انحراف
aberration,گمراهي
abeyance,بي تکليفي
abeyant,بي تکليف
abiding,وفا کننده
ability,وسع
ability,تمکن
ability,قابليت
ability,استطاعت
ability,توانيي
ability,توان
abject,خوار و زار
abjuration,ارتداد
abjuration,عهد شکني
abjuration,سوگند شکني
abjuration,نقض عهد
abjure,رافضي شدن
ablactation,شيرواگيران
ablative,ازي
ablative,ازي
ablative,مفعول منه
ablative,صيغه آلت
ablative,مفعول عنه
ablaze,افروخته
able,قادر
able,ليق بودن
able-minded,باکله
abloom,شکوفا
abloom,پر شکوفه
ablution,غسل
ablution,آبدست
ablution,وضو
ablution before prayer,دست نماز
ablution with earth,تيمم
abnegate,بخود حرام کردن
abnegation,کف نفس
abnegator,منکر
abnegator,منکر
abnormal,غير عادي
